,zip,state,customersServed,customersAffected,lastUpdatedTime,latitude,longitude,utility,dateTime
0,70003,L,17817,34,1751384307424,30.00099,-90.21825,Entergy,2025-07-01 10:40:03.345473
1,70005,L,13900,17,1751384307424,29.9994,-90.12939,Entergy,2025-07-01 10:40:03.345473
2,70043,L,11194,40,1751384307424,29.94597,-89.96388,Entergy,2025-07-01 10:40:03.345473
3,70053,L,9002,65,1751384307424,29.91185,-90.05359,Entergy,2025-07-01 10:40:03.345473
4,70056,L,17855,1,1751384307424,29.90141,-90.03282,Entergy,2025-07-01 10:40:03.345473
5,70062,L,9506,16,1751384307424,29.99237,-90.24308,Entergy,2025-07-01 10:40:03.345473
6,70068,L,14475,87,1751384307424,30.06929,-90.4891,Entergy,2025-07-01 10:40:03.345473
7,70075,L,2497,18,1751384307424,29.93443,-89.92025,Entergy,2025-07-01 10:40:03.345473
8,70087,L,3394,4,1751384307424,29.95567,-90.31191,Entergy,2025-07-01 10:40:03.345473
9,70094,L,14326,6,1751384307424,29.92925,-90.17907,Entergy,2025-07-01 10:40:03.345473
10,70115,L,20254,78,1751384307424,29.92749,-90.09866,Entergy,2025-07-01 10:40:03.345473
11,70118,L,16709,33,1751384307424,29.94923,-90.12312,Entergy,2025-07-01 10:40:03.345473
12,70123,L,16689,99,1751384307424,29.9591,-90.20393,Entergy,2025-07-01 10:40:03.345473
13,70130,L,10378,1,1751384307424,29.94423,-90.07154,Entergy,2025-07-01 10:40:03.345473
14,70301,L,23136,9,1751384307424,29.79502,-90.81192,Entergy,2025-07-01 10:40:03.345473
15,70344,L,3107,9,1751384307424,29.41945,-90.6047,Entergy,2025-07-01 10:40:03.345473
16,70346,L,5054,1,1751384307424,30.10494,-91.00106,Entergy,2025-07-01 10:40:03.345473
17,70363,L,5676,28,1751384307424,29.57521,-90.69594,Entergy,2025-07-01 10:40:03.345473
18,70364,L,7290,1,1751384307424,29.63729,-90.707,Entergy,2025-07-01 10:40:03.345473
19,70403,L,15769,7,1751384307424,30.48397,-90.47833,Entergy,2025-07-01 10:40:03.345473
20,70427,L,7600,9,1751384307424,30.76404,-89.88218,Entergy,2025-07-01 10:40:03.345473
21,70441,L,26,1,1751384307424,30.86094,-90.73105,Entergy,2025-07-01 10:40:03.345473
22,70454,L,17841,1,1751384307424,30.44136,-90.42073,Entergy,2025-07-01 10:40:03.345473
23,70570,L,2945,3,1751384307424,30.52525,-92.09352,Entergy,2025-07-01 10:40:03.345473
24,70583,L,3231,100,1751384307424,30.24378,-92.09912,Entergy,2025-07-01 10:40:03.345473
25,70601,L,17903,47,1751384307424,30.2245,-93.20581,Entergy,2025-07-01 10:40:03.345473
26,70605,L,19938,16,1751384307424,30.16871,-93.24532,Entergy,2025-07-01 10:40:03.345473
27,70607,L,13568,3,1751384307424,30.1368,-93.19844,Entergy,2025-07-01 10:40:03.345473
28,70615,L,6078,1,1751384307424,30.24389,-93.15242,Entergy,2025-07-01 10:40:03.345473
29,70663,L,12202,192,1751384307424,30.23981,-93.36406,Entergy,2025-07-01 10:40:03.345473
30,70665,L,6316,46,1751384307424,30.17704,-93.37325,Entergy,2025-07-01 10:40:03.345473
31,70669,L,4403,1,1751384307424,30.25888,-93.2663,Entergy,2025-07-01 10:40:03.345473
32,70726,L,9512,78,1751384307424,30.4576,-90.9267,Entergy,2025-07-01 10:40:03.345473
33,70737,L,20590,1,1751384307424,30.23743,-90.92211,Entergy,2025-07-01 10:40:03.345473
34,70754,L,1758,12,1751384307424,30.42471,-90.74103,Entergy,2025-07-01 10:40:03.345473
35,70767,L,7537,15,1751384307424,30.48924,-91.26587,Entergy,2025-07-01 10:40:03.345473
36,70769,L,13792,1,1751384307424,30.31139,-90.94418,Entergy,2025-07-01 10:40:03.345473
37,70775,L,1731,4,1751384307424,30.89314,-91.36463,Entergy,2025-07-01 10:40:03.345473
38,70791,L,6465,1,1751384307424,30.65331,-91.14963,Entergy,2025-07-01 10:40:03.345473
39,70802,L,12471,1,1751384307424,30.44612,-91.1716,Entergy,2025-07-01 10:40:03.345473
40,70805,L,10899,109,1751384307424,30.49101,-91.14945,Entergy,2025-07-01 10:40:03.345473
41,70806,L,15678,1,1751384307424,30.44784,-91.12812,Entergy,2025-07-01 10:40:03.345473
42,70810,L,22153,1,1751384307424,30.36238,-91.08926,Entergy,2025-07-01 10:40:03.345473
43,70812,L,3757,3,1751384307424,30.50383,-91.11509,Entergy,2025-07-01 10:40:03.345473
44,70814,L,5247,2,1751384307424,30.4824,-91.07228,Entergy,2025-07-01 10:40:03.345473
45,70815,L,12822,102,1751384307424,30.45703,-91.06799,Entergy,2025-07-01 10:40:03.345473
46,71023,L,1337,2,1751384307424,32.49098,-93.40676,Entergy,2025-07-01 10:40:03.345473
47,71226,L,1339,3,1751384307424,32.29189,-92.4826,Entergy,2025-07-01 10:40:03.345473
48,71232,L,3071,1,1751384307424,32.43498,-91.5079,Entergy,2025-07-01 10:40:03.345473
49,71235,L,2039,5,1751384307424,32.70061,-92.65658,Entergy,2025-07-01 10:40:03.345473
50,71264,L,769,1,1751384307424,32.61394,-91.77714,Entergy,2025-07-01 10:40:03.345473
51,71334,L,3566,216,1751384307424,31.63889,-91.55313,Entergy,2025-07-01 10:40:03.345473
52,71357,L,1177,45,1751384307424,32.06755,-91.25443,Entergy,2025-07-01 10:40:03.345473
53,71366,L,1706,1,1751384307424,31.93257,-91.31766,Entergy,2025-07-01 10:40:03.345473
54,71373,L,1190,37,1751384307424,31.56768,-91.4838,Entergy,2025-07-01 10:40:03.345473
55,OTHER,L,2,2,1751384307424,,,Entergy,2025-07-01 10:40:03.345473
